NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. In dieser Studie, erforschen wir was Männer attraktiv macht.;2. Immer mehr Menschen nutzen Online-Banking. Dies ist eine Kontrollfrage. Bitte wählen Sie die zweite Antwort.;3. [Random Choice]:Set 1;3. [Random Choice]:Set 2;3. [Random Choice]:Set 3;3. [Random Choice]:Set 4;3. [Random Choice]:Set 5;3. [Random Choice]:Set 6;3. [Random Choice]:Set 7;3. [Random Choice]:Set 8;3. [Random Choice]:Set 9;3. [Random Choice]:Set 10;3. [Random Choice]:Set 11;3. [Random Choice]:Set 12;3. [Random Choice]:Set 13;3. [Random Choice]:Set 14;3. [Random Choice]:Set 15;3. [Random Choice]:Set 16;4. Bitte wähle das attraktivste Profil aus.;5. Bitte wähle das attraktivste Profil aus.;6. Bitte wähle das attraktivste Profil aus.;7. Bitte wähle das attraktivste Profil aus.;8. Bitte wähle das attraktivste Profil aus.;9. Bitte wähle das attraktivste Profil aus.;10. Bitte wähle das attraktivste Profil aus.;11. Bitte wähle das attraktivste Profil aus.;12. Bitte wähle das attraktivste Profil aus.;13. Bitte wähle das attraktivste Profil aus.;14. Bitte wähle das attraktivste Profil aus.;15. Bitte wähle das attraktivste Profil aus.;16. Bitte wähle das attraktivste Profil aus.;17. Bitte wähle das attraktivste Profil aus.;18. Bitte wähle das attraktivste Profil aus.;19. Bitte wähle das attraktivste Profil aus.;20. Wie würdest du dich selber auf dem politischen Spektrum einordnen?;21. Wie würdest du deine sexuelle Orientierung beschreiben?;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
277;f;32;7;Sachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Hohburg bei Wurzen;-;04808;DEU;ios;127;2021-07-06 10:41:32;-;Fast immer;0;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;-;2B;3B;-;-;-;7B;8B;9A;10C;11A;-;13C;-;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
278;f;18;3a;Saarland;Sonstige;Keine Kinder (<18) im Haushalt;3 Personen;<1000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Voelklingen;-;66333;DEU;ios;74;2021-07-06 09:14:09;-;Fast immer;1;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1A;-;3A;-;5C;6C;7C;8A;9A;10C;-;-;13A;-;-;16A;Eher mittig;Keine Angaben;Pudding
279;f;43;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Realschulabschluss;Erlangen;x;91054;DEU;android;99;2021-07-06 10:48:50;-;Fast immer;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;-;2B;3B;-;5C;6C;7C;-;-;10B;11C;-;13C;14B;-;16A;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
280;f;16;6;Brandenburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Bernau;-;16321;DEU;ios;180;2021-07-06 09:13:20;-;Fast immer;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1A;2C;-;-;5C;6C;-;8B;9C;-;-;12C;13C;14B;-;16A;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
281;f;36;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Fritzlar;-;34560;DEU;iOS;102;2021-07-06 10:23:08;-;Fast immer;1;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1A;-;3B;4A;5C;-;-;8B;9C;10C;11A;-;13C;-;15B;-;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
282;f;31;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;x;80337;DEU;ios;141;2021-07-06 10:44:28;-;Fast immer;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;-;2B;3B;-;5C;-;7C;8B;9B;10B;11C;-;13C;-;15B;-;Eher links;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
283;f;25;4;Bayern;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Waldkirchen;-;94065;DEU;Android;135;2021-07-06 09:04:26;-;Fast immer;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;1A;2B;-;4B;5C;-;7C;8A;-;10C;11A;-;-;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
284;f;19;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Oberursel;-;61440;DEU;android;73;2021-07-06 09:35:33;-;Fast immer;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;-;-;-;4A;5C;6A;7C;8B;9B;10B;11B;12A;13C;-;-;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
285;f;22;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Saarbruecken;x;66117;DEU;ios;98;2021-07-06 08:58:54;-;Fast immer;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;0;1A;2B;-;-;5C;-;7A;8A;9A;10C;11A;-;-;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
286;f;21;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Koeln;x;50667;DEU;ios;81;2021-07-06 09:25:25;-;Fast immer;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1A;2A;-;-;5A;-;-;8B;9C;10B;11C;-;13C;14B;15B;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
287;f;26;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Marklohe;-;31608;DEU;ios;90;2021-07-06 09:03:48;-;Fast immer;1;1;0;1;1;1;0;1;0;0;1;1;1;1;0;0;1A;2C;-;4A;5C;6A;-;8A;-;-;11A;12C;13A;14B;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
288;f;34;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Bochum;x;44805;DEU;android;76;2021-07-06 09:01:25;-;Fast immer;0;1;0;0;1;1;1;0;0;1;0;1;1;1;1;1;-;2C;-;-;5C;6A;7C;-;-;10C;-;12A;13A;14C;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
289;f;36;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Hagen;x;58119;DEU;Android;250;2021-07-06 10:10:01;-;Fast immer;0;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;-;2A;3B;4A;-;6C;7C;-;-;10B;-;12A;-;14B;15C;16A;Eher links;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
290;f;26;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Duesseldorf;x;40223;DEU;Android;134;2021-07-06 10:03:49;-;Fast immer;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1A;-;3B;4A;-;6C;-;8B;9B;10B;-;12C;13C;14B;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
291;f;40;1;Hamburg;;;;;;;;Hamburg;x;22527;DEU;ios;152;2021-07-06 09:05:45;-;Fast immer;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;1;-;2B;3B;-;5C;6C;7C;-;-;-;11C;12C;13C;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
292;f;26;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Freiburg im Breisgau;x;79098;DEU;Android;136;2021-07-06 09:16:50;-;Fast immer;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;0;1A;2B;3B;-;-;6A;7A;-;9A;10C;11A;-;13C;-;15B;-;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
293;f;40;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Balingen;-;72336;DEU;ios;146;2021-07-06 10:31:10;-;Fast immer;1;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1B;-;-;4A;5C;-;7B;-;9C;10C;-;12A;13C;14C;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
294;f;53;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Gross Pampau;-;21493;DEU;ios;132;2021-07-06 09:22:33;-;Fast immer;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;-;-;-;-;-;6C;7B;8A;9B;10C;-;12C;13C;14B;15C;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
295;f;28;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Wuerzburg;x;97080;DEU;iOS;85;2021-07-06 10:31:59;-;Fast immer;0;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;-;2B;3B;4B;-;6C;7C;8A;9A;10C;-;12C;-;14B;-;-;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
296;f;18;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Nordhorn;-;48529;DEU;Android;180;2021-07-06 09:19:02;-;Fast immer;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;-;2B;3B;-;5C;6C;-;8A;9B;-;11C;-;13A;14B;-;16A;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
297;f;49;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Augsburg;x;86153;DEU;iOS;85;2021-07-06 09:24:34;-;Fast immer;1;0;0;1;1;1;0;1;0;1;1;1;1;0;0;1;1A;-;-;4A;5C;6C;-;8A;-;10C;11A;12B;13A;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
298;f;16;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Mainz;x;55116;DEU;ios;86;2021-07-06 09:08:17;-;Fast immer;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;-;-;-;4A;5C;6C;7A;8B;9B;-;11C;-;-;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
299;f;25;6;Brandenburg;;;;;;;;Gross Behnitz;-;14641;DEU;android;134;2021-07-06 10:37:41;-;Fast immer;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;1A;2C;3B;-;5A;-;7C;8A;9C;10C;11C;12C;-;-;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
300;f;17;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Bad Oeynhausen;-;32547;DEU;iOS;100;2021-07-06 09:06:30;-;Fast immer;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1A;2B;3B;-;5C;6C;7A;8A;-;-;-;12B;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
301;f;30;1;Schleswig-Holstein;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Kiel;x;24118;DEU;iOS;693;2021-07-06 10:42:33;-;Fast immer;1;0;1;0;1;1;0;1;1;1;1;0;0;0;1;1;1B;-;3B;-;5C;6C;-;8A;9A;10C;11A;-;-;-;15B;16C;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
302;f;29;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Rostock;x;18057;DEU;Android;86;2021-07-06 09:54:21;-;Fast immer;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1B;2C;-;4A;5C;-;7A;8A;9B;-;11A;12C;13C;-;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
303;f;38;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Abitur / Fachabitur;Pocking;-;94060;DEU;Android;63;2021-07-06 09:36:15;-;Fast immer;0;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;-;2B;3B;4A;-;-;7C;-;9B;-;-;12A;13A;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
304;f;55;3a;Hessen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;Roedermark;-;63322;DEU;Android;217;2021-07-06 09:02:23;-;Fast immer;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1B;-;-;-;5C;-;-;8A;9B;10C;11A;12C;-;14B;15A;16A;Eher mittig;Keine Angaben;Pudding
305;f;42;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Callenberg bei Hohenstein-Ernstthal;-;09337;DEU;android;142;2021-07-06 10:23:43;-;Fast immer;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;1;-;-;3B;4A;-;6A;-;8B;9B;-;11A;-;13C;14C;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
306;f;23;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Solingen;x;42699;DEU;ios;142;2021-07-06 09:36:37;-;Fast immer;1;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1B;2B;-;-;-;6A;7A;-;9C;-;11A;12B;13A;14C;-;16B;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
307;f;30;3a;Hessen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;Lehre / Ausbildung;No degree;Usingen;-;61250;DEU;Android;139;2021-07-06 09:06:52;-;Fast immer;1;1;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1B;2B;3B;-;-;6C;7B;-;9A;-;11A;12C;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
308;f;35;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Metzingen;-;72555;DEU;Android;364;2021-07-06 09:15:16;-;Fast immer;0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;1;-;2B;3B;-;5A;6C;-;8A;9C;10A;11A;-;-;-;15B;16C;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
309;f;40;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Heinsberg;-;52525;DEU;Android;124;2021-07-06 10:00:06;-;Fast immer;0;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;-;-;3B;4B;-;6C;7C;-;9B;-;11A;12C;-;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
310;f;32;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Hueckeswagen;-;42499;DEU;android;85;2021-07-06 09:17:42;-;Fast immer;1;1;1;1;1;1;0;1;0;0;1;0;1;0;0;1;1A;2B;3B;4A;5C;6A;-;8A;-;-;11A;-;13A;-;-;16C;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
311;f;36;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Bad Harzburg;-;38667;DEU;android;374;2021-07-06 10:42:25;-;Fast immer;1;0;1;0;1;1;1;0;0;1;1;0;1;0;1;1;1A;-;3B;-;5C;6C;7A;-;-;10A;11C;-;13C;-;15B;16A;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
312;f;40;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Cottbus;-;03050;DEU;ios;65;2021-07-06 09:19:59;-;Fast immer;1;0;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1A;-;3B;-;5C;6C;7B;-;-;10C;11A;12B;13A;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
313;f;22;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbildung;Hauptschulabschluss;Bad Bentheim;-;48455;DEU;Android;160;2021-07-06 09:08:20;-;Fast immer;1;1;1;1;0;0;1;0;1;1;0;1;0;0;1;1;1A;2B;3B;4C;-;-;7C;-;9C;10B;-;12C;-;-;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
314;f;19;7;Thueringen;Sonstige;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Leimbach;-;36433;DEU;Android;152;2021-07-06 09:26:01;-;Fast immer;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1C;2B;3C;4A;5C;6C;-;8A;-;-;-;-;13C;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
315;f;36;4;Bayern;Sonstige;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Augsburg;x;86150;DEU;Android;193;2021-07-06 09:55:49;-;Fast immer;0;0;1;1;1;1;1;1;1;0;0;1;0;1;0;1;-;-;3B;4A;5C;6C;7A;8B;9B;-;-;12B;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
316;f;16;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Oelde;-;59302;DEU;Android;106;2021-07-06 09:03:06;-;Fast immer;1;0;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1A;-;3B;-;5C;6C;-;-;9A;10A;-;12C;13A;14B;15A;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
317;f;49;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Realschulabschluss;Guetersloh;-;33332;DEU;android;151;2021-07-06 09:13:48;-;Fast immer;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;-;2C;3B;4B;5C;6A;7B;8A;9A;10A;-;12C;-;-;-;-;Eher rechts;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
318;f;50;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Jena;x;07745;DEU;ios;68;2021-07-06 10:33:59;-;Fast immer;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1A;2B;3B;4B;-;-;7C;8A;9A;10C;11A;-;-;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
319;f;31;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Ingolstadt;x;85055;DEU;ios;77;2021-07-06 10:06:16;-;Fast immer;1;1;1;0;0;1;0;1;0;1;1;1;0;0;1;1;1B;2B;3B;-;-;6A;-;8B;-;10C;11A;12C;-;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
320;f;27;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Realschulabschluss;Inden;-;52459;DEU;Android;174;2021-07-06 10:11:45;-;Fast immer;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;-;2B;-;4C;-;6B;-;-;9C;10B;11C;12C;13C;14B;15C;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
321;f;18;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;No degree;Grossmaischeid;-;56276;DEU;ios;145;2021-07-06 08:59:31;-;Fast immer;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;0;1A;2C;3B;-;5C;6C;7B;8A;-;-;-;-;13A;14B;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
322;f;25;6;Mecklenburg-Vorpommern;;;;;;;;Neubrandenburg;-;17034;DEU;ios;377;2021-07-06 10:22:17;-;Fast immer;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;-;-;3B;-;-;6C;7C;8A;9B;10B;-;12C;13C;14B;15B;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
323;f;44;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Frankfurt (Oder);-;15230;DEU;Android;131;2021-07-06 09:35:55;-;Fast immer;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0;1;1B;-;3B;4A;-;6A;7C;8B;9A;10A;-;-;-;14B;-;16C;Eher rechts;Keine Angaben;Pudding
324;f;22;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;4000€ bis 5000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Herne;x;44623;DEU;ios;117;2021-07-06 09:37:02;-;Fast immer;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1;1;1A;-;3C;4A;-;6C;7C;-;-;10B;-;-;13C;14B;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
325;f;27;1;Hamburg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Hamburg;x;22179;DEU;ios;216;2021-07-06 09:17:52;-;Fast immer;0;0;1;0;1;1;1;1;0;0;1;1;1;1;0;1;-;-;3B;-;5C;6C;7A;8B;-;-;11C;12A;13C;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
326;f;26;3b;Baden-Wuerttemberg;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Waiblingen;-;71336;DEU;Android;105;2021-07-06 09:02:36;-;Fast immer;1;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1A;-;-;4A;-;6A;7A;8A;9B;10C;11A;-;13A;-;-;16A;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
327;f;41;6;Mecklenburg-Vorpommern;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Blankenberg;-;19412;DEU;Android;110;2021-07-06 09:35:43;-;Fast immer;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;-;-;3B;4B;5C;6C;-;8A;9A;10C;11A;-;-;14B;15A;-;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
328;f;16;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;>5000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Wolfenbuettel;-;38300;DEU;Android;181;2021-07-06 08:59:39;-;Fast immer;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;0;-;2B;-;4B;-;-;7A;8B;9A;10C;11A;12C;-;14B;15B;-;Eher mittig;Keine Angaben;Pudding
