NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. In dieser Studie, erforschen wir was Männer attraktiv macht.;2. Immer mehr Menschen nutzen Online-Banking. Dies ist eine Kontrollfrage. Bitte wählen Sie die zweite Antwort.;3. [Random Choice]:Set 1;3. [Random Choice]:Set 2;3. [Random Choice]:Set 3;3. [Random Choice]:Set 4;3. [Random Choice]:Set 5;3. [Random Choice]:Set 6;3. [Random Choice]:Set 7;3. [Random Choice]:Set 8;3. [Random Choice]:Set 9;3. [Random Choice]:Set 10;3. [Random Choice]:Set 11;3. [Random Choice]:Set 12;3. [Random Choice]:Set 13;3. [Random Choice]:Set 14;3. [Random Choice]:Set 15;3. [Random Choice]:Set 16;4. Bitte wähle das attraktivste Profil aus.;5. Bitte wähle das attraktivste Profil aus.;6. Bitte wähle das attraktivste Profil aus.;7. Bitte wähle das attraktivste Profil aus.;8. Bitte wähle das attraktivste Profil aus.;9. Bitte wähle das attraktivste Profil aus.;10. Bitte wähle das attraktivste Profil aus.;11. Bitte wähle das attraktivste Profil aus.;12. Bitte wähle das attraktivste Profil aus.;13. Bitte wähle das attraktivste Profil aus.;14. Bitte wähle das attraktivste Profil aus.;15. Bitte wähle das attraktivste Profil aus.;16. Bitte wähle das attraktivste Profil aus.;17. Bitte wähle das attraktivste Profil aus.;18. Bitte wähle das attraktivste Profil aus.;19. Bitte wähle das attraktivste Profil aus.;20. Wie würdest du dich selber auf dem politischen Spektrum einordnen?;21. Wie würdest du deine sexuelle Orientierung beschreiben?;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
963;f;16;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Dortmund;x;44339;DEU;Android;560;2021-07-06 09:37:17;-;Fast immer;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1A;2A;3B;4A;-;-;-;8C;9B;10B;11C;12A;-;14B;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
964;f;18;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Altrip;-;67122;DEU;ios;91;2021-07-06 09:26:09;-;Fast immer;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;1;-;-;3B;4A;5C;-;-;8A;9A;-;-;12C;13A;14C;15A;16C;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
965;f;42;7;Sachsen;in Rente;Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Wachau;-;01454;DEU;android;202;2021-07-06 09:36:09;-;Fast immer;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1A;2B;-;4A;-;-;-;8B;9C;10B;11B;-;13C;14B;15C;-;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
966;f;20;7;Sachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Zwickau;-;08064;DEU;iOS;151;2021-07-06 09:04:38;-;Fast immer;0;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;-;2B;3B;4B;-;6C;7A;8B;-;10B;-;12C;13C;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
967;f;30;1;Niedersachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;Eydelstedt;-;49406;DEU;ios;78;2021-07-06 09:25:30;-;Fast immer;1;1;1;0;1;0;1;0;1;1;0;1;1;0;0;1;1A;2C;3B;-;5C;-;7B;-;9B;10C;-;12A;13A;-;-;16A;Eher mittig;Keine Angaben;Pudding
968;f;25;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Berlin;x;12163;DEU;ios;90;2021-07-06 09:32:34;-;Fast immer;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;-;2C;-;4B;5C;-;7C;8A;-;10C;11A;12C;-;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
969;f;39;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Sindelfingen;-;71063;DEU;Android;215;2021-07-06 09:06:34;-;Fast immer;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0;1B;2B;3C;4B;5A;-;-;8C;9C;10C;11A;-;-;-;15B;-;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
970;f;30;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;(Noch) kein Abschluss;Hauptschulabschluss;Hannover;x;30161;DEU;Android;107;2021-07-06 09:44:33;-;Fast immer;1;0;1;1;0;1;1;1;0;0;1;0;1;0;1;1;1A;-;3B;4B;-;6C;7C;8A;-;-;11A;-;13A;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
971;f;19;4;Bayern;;;;;;;;Eggenthal;-;87653;DEU;Android;313;2021-07-06 09:31:15;-;Fast immer;1;1;1;0;1;1;0;1;1;0;0;1;0;1;0;1;1B;2B;3B;-;5C;6C;-;8B;9A;-;-;12C;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
972;f;20;1;Niedersachsen;Sonstige;Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Loeningen;-;49624;DEU;ios;153;2021-07-06 09:01:22;-;Fast immer;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;-;2B;-;4A;-;6C;7A;-;9C;10B;-;12C;13C;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
